reg	orig_label	true_label	predicted_label	Bivalent	ConstitutiveHet	Enhancer	FacultativeHet	Promoter	Quiescent	RegPermissive	Transcribed	Unclassified
1	4_Tx	Transcribed	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1	5_Tx5'	Unclassified	RegPermissive	0.0	0.2	0.0	0.0	0.0	0.2	0.3	0.0	0.3
1	8_EnhG2	Unclassified	Transcribed	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.5	0.3
1	2_PromU	RegPermissive	Promoter	0.2	0.0	0.0	0.0	0.4	0.0	0.2	0.0	0.2
1	12_ZNF/Rpts	ConstitutiveHet	Enhancer	0.0	0.0	0.5	0.1	0.0	0.1	0.1	0.0	0.2
1	Repr3	FacultativeHet	FacultativeHet	0.1	0.0	0.0	0.7	0.0	0.2	0.0	0.0	0.0
1	Repr1	FacultativeHet	FacultativeHet	0.0	0.0	0.0	0.4	0.0	0.0	0.3	0.1	0.2
1	Repr2	FacultativeHet	Bivalent	0.6	0.0	0.0	0.1	0.2	0.0	0.1	0.0	0.0
1	CtcfO	Unclassified	RegPermissive	0.0	0.1	0.0	0.0	0.0	0.2	0.3	0.1	0.3
1	12_Repressed	FacultativeHet	FacultativeHet	0.0	0.0	0.1	0.5	0.0	0.1	0.2	0.0	0.1
1	Low1	Quiescent	Quiescent	0.0	0.0	0.0	0.1	0.0	0.7	0.0	0.0	0.2
1	7_EnhG1	Unclassified	Transcribed	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.7	0.2
1	6_EnhG	Unclassified	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
1	EnhPr	Promoter	RegPermissive	0.1	0.0	0.3	0.0	0.0	0.0	0.6	0.0	0.0
1	15_Repetitive/CNV	ConstitutiveHet	ConstitutiveHet	0.0	0.5	0.0	0.2	0.0	0.3	0.0	0.0	0.0
1	5_Strong_Enhancer	Enhancer	RegPermissive	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1	PromF	RegPermissive	RegPermissive	0.1	0.0	0.0	0.0	0.4	0.0	0.5	0.0	0.0
1	Low1	ConstitutiveHet	Quiescent	0.0	0.2	0.0	0.0	0.0	0.8	0.0	0.0	0.0
1	EnhF2	Enhancer	Enhancer	0.0	0.0	0.4	0.0	0.2	0.0	0.4	0.0	0.0
1	12_TxEnhW	RegPermissive	RegPermissive	0.0	0.0	0.2	0.1	0.0	0.0	0.5	0.0	0.2
1	Elon2	Transcribed	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1	7_Weak_Enhancer	RegPermissive	RegPermissive	0.0	0.0	0.1	0.0	0.0	0.0	0.9	0.0	0.0
1	Low6	ConstitutiveHet	Quiescent	0.0	0.3	0.0	0.1	0.0	0.5	0.0	0.1	0.0
1	PromF	RegPermissive	RegPermissive	0.1	0.0	0.2	0.0	0.1	0.0	0.6	0.0	0.0
1	Repr	FacultativeHet	FacultativeHet	0.1	0.0	0.0	0.5	0.0	0.0	0.4	0.0	0.0
1	Tss	Promoter	Promoter	0.2	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0
1	5_Tx	Transcribed	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1	4_Strong_Enhancer	Enhancer	RegPermissive	0.1	0.0	0.1	0.0	0.2	0.0	0.6	0.0	0.0
1	25_Quies	Quiescent	Quiescent	0.0	0.0	0.0	0.1	0.0	0.9	0.0	0.0	0.0
1	DnaseD	Unclassified	RegPermissive	0.0	0.0	0.0	0.2	0.0	0.2	0.3	0.1	0.2
1	Tss	Promoter	Promoter	0.0	0.0	0.0	0.2	0.8	0.0	0.0	0.0	0.0
1	19_DNase	RegPermissive	RegPermissive	0.0	0.1	0.0	0.2	0.0	0.0	0.5	0.0	0.2
1	18_Quies	Quiescent	Quiescent	0.0	0.0	0.0	0.2	0.0	0.8	0.0	0.0	0.0
1	Tss	Promoter	Promoter	0.3	0.0	0.0	0.0	0.5	0.0	0.1	0.0	0.1
1	Elon1	Transcribed	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1	EnhPr	RegPermissive	RegPermissive	0.2	0.0	0.0	0.0	0.2	0.0	0.4	0.0	0.2
1	16_ReprPC	FacultativeHet	FacultativeHet	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
