old	new
23_PromBiv	Transcribed
25_Quies	Quiescent
8_TxWk	Transcribed
21_Het	FacultativeHet
1_TssA	FacultativeHet
14_EnhA2	RegPermissive
18_EnhAc	Quiescent
3_PromD1	FacultativeHet
13_EnhA1	FacultativeHet
24_ReprPC	FacultativeHet
22_PromP	FacultativeHet
12_TxEnhW	RegPermissive
4_PromD2	RegPermissive
17_EnhW2	LowConfidence
19_DNase	FacultativeHet
5_Tx5'	Quiescent
11_TxEnh3'	Transcribed
20_ZNF/Rpts	LowConfidence
2_PromU	FacultativeHet
7_Tx3'	Transcribed
16_EnhW1	FacultativeHet
10_TxEnh5'	RegPermissive
15_EnhAF	LowConfidence
9_TxReg	RegPermissive
6_Tx	Transcribed
