old	new
16_EnhW1	FacultativeHet
25_Quies	Quiescent
4_PromD2	Transcribed
6_Tx	FacultativeHet
14_EnhA2	FacultativeHet
19_DNase	Quiescent
24_ReprPC	FacultativeHet
21_Het	LowConfidence
22_PromP	FacultativeHet
15_EnhAF	FacultativeHet
7_Tx3'	FacultativeHet
17_EnhW2	FacultativeHet
20_ZNF/Rpts	RegPermissive
10_TxEnh5'	Transcribed
12_TxEnhW	Transcribed
1_TssA	Transcribed
5_Tx5'	Transcribed
18_EnhAc	LowConfidence
2_PromU	FacultativeHet
8_TxWk	LowConfidence
3_PromD1	Transcribed
13_EnhA1	FacultativeHet
23_PromBiv	FacultativeHet
9_TxReg	Transcribed
11_TxEnh3'	FacultativeHet
