old	new
23_PromBiv	LowConfidence
25_Quies	Quiescent
8_TxWk	Transcribed
21_Het	LowConfidence
1_TssA	FacultativeHet
14_EnhA2	FacultativeHet
18_EnhAc	FacultativeHet
3_PromD1	FacultativeHet
13_EnhA1	RegPermissive
24_ReprPC	LowConfidence
22_PromP	FacultativeHet
12_TxEnhW	RegPermissive
4_PromD2	RegPermissive
17_EnhW2	RegPermissive
19_DNase	FacultativeHet
5_Tx5'	Quiescent
11_TxEnh3'	RegPermissive
20_ZNF/Rpts	LowConfidence
2_PromU	LowConfidence
7_Tx3'	Transcribed
16_EnhW1	FacultativeHet
10_TxEnh5'	RegPermissive
15_EnhAF	RegPermissive
9_TxReg	Transcribed
6_Tx	Transcribed
